10001,12,Kelly,Karren,Logan,Karren,MainStNO131,857-360-1155,TRUE,000000
10002,23,Paul,George,Jacob,George,MainStNO132,869-110-3465,TRUE,000000
10003,62,Leborn,James,Ethan,James,MainStNO133,310-468-4789,FALSE,000000
10004,32,Steven,Curry,Dell,Curry,MainStNO134,538-417-6867,FALSE,000000
10005,12,Alvin,Bill,Jayden,Bill,MainStNO135,673-574-5782,TRUE,000000
10006,48,Markie,Jane,Ryan,Jane,MainStNO136,647-468-1682,FALSE,000000
10007,26,Kobe,Bryant,Jessin,Bryant,MainStNO137,364-476-3642,FALSE,000000
10008,40,Devin,Robin,Aron,Robin,MainStNO138,569-483-5698,FALSE,000000
10009,29,Bobby,Higgins,Christopher,Higgins,MainStNO139,457-367-3683,FALSE,000000
10010,14,Mike,Christin,Jorden,Christin,MainStNO140,479-478-4792,FALSE,000000
10011,12,Cathey,Methew,Samuel,Methew,MainStNO141,482-593-5793,TRUE,000000
10012,27,Kaly,Tompson,Jack,Tompson,MainStNO142,458-658-6224,FALSE,000000
10013,12,Dany,Green,Diamond,Green,MainStNO143,310-468-4788,TRUE,000000
10014,63,Ruthie,Mart,Wiliam,Mart,MainStNO144,538-417-6868,FALSE,000000
10015,34,Stanley,Kavin,Stain,Kavin,MainStNO145,673-574-5783,FALSE,000000
10016,53,Kavin,Durrant,Tyler,Durrant,MainStNO146,647-468-1683,FALSE,000000
10017,41,Karlly,Johns,Luke,Johns,MainStNO147,364-476-3643,FALSE,000000
10018,30,Don,Shawn,Connor,Shawn,MainStNO148,457-367-3684,FALSE,000000
10019,11,Smith,Peters,Shawn,Peters,MainStNO149,479-478-4793,FALSE,000000
10020,8,George,Lucus,Eillige,Lucus,MainStNO150,857-360-1156,FALSE,000000
10021,15,Dean,White,Jane,White,MainStNO151,929-294-6730,FALSE,000000
10022,42,Barry,Green,Jenny,Green,MainStNO152,857-009-0902,FALSE,000000
10023,55,Zachzry,Black,Amma,Black,MainStNO153,929-290-3421,FALSE,000000
10024,66,Darcy,Copper,Leo,Copper,MainStNO154,809-888-8918,FALSE,000000
10025,20,Allen,Wang,Ryan,Wang,MainStNO155,824-999-9090,FALSE,000000
10026,63,Amy,Li,Smokey,Li,MainStNO156,929-198-9821,FALSE,000000
10027,72,Bill,Sparrow,Alex,Sparrow,MainStNO157,801-231-3213,FALSE,000000
10028,17,Will,Brown,Sheva,Brown,MainStNO158,908-313-7866,FALSE,000000
10029,38,Leo,Track,Dante,Track,MainStNO159,343-897-4721,FALSE,000000
10030,44,Lean,Mart,Jarves,Mart,MainStNO160,867-543-1234,FALSE,000000
